date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:02	174923/174923	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Dec%202025%2001:59:30%20GMT	https://www.houstonsignsandawnings.com/	www.houstonsignsandawnings.com/index.html	(from )
20:04:02	158/158	---M--	200	added ('OK')	text/plain	etag:%22677deba5-9e%22	https://www.houstonsignsandawnings.com/robots.txt		(from )
20:04:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Dec%202025%2002:04:03%20GMT	https://www.houstonsignsandawnings.com/i	www.houstonsignsandawnings.com/i	(from https://www.houstonsignsandawnings.com/)
20:04:03	16998/16998	---M--	200	added ('OK')	image/png	etag:%22677deb9f-4266%22	https://www.houstonsignsandawnings.com/wp-content/uploads/2013/09/royal-signs-fallback.png	www.houstonsignsandawnings.com/wp-content/uploads/2013/09/royal-signs-fallback.png	(from https://www.houstonsignsandawnings.com/)
20:04:04	2909/2909	---M--	200	added ('OK')	image/png	etag:%22677deba2-b5d%22	https://www.houstonsignsandawnings.com/wp-content/uploads/2013/09/royal-signs-fav.png	www.houstonsignsandawnings.com/wp-content/uploads/2013/09/royal-signs-fav.png	(from https://www.houstonsignsandawnings.com/)
20:04:05	162318/162318	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Dec%202025%2019:29:50%20GMT	https://www.houstonsignsandawnings.com/indoor-signs/	www.houstonsignsandawnings.com/indoor-signs/index.html	(from https://www.houstonsignsandawnings.com/)
20:04:06	2310/2310	---MCZ	200	added ('OK')	application/json	date:Mon,%2022%20Dec%202025%2002:04:05%20GMT	https://www.houstonsignsandawnings.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.houstonsignsandawnings.com%2F	www.houstonsignsandawnings.com/wp-json/oembed/1.0/embed4b0e.json	(from https://www.houstonsignsandawnings.com/)
20:04:06	110521/110521	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Dec%202025%2002:04:06%20GMT	https://www.houstonsignsandawnings.com/Firefox/	www.houstonsignsandawnings.com/Firefox/index.html	(from https://www.houstonsignsandawnings.com/)
20:04:07	2461/2461	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Dec%202025%2002:04:06%20GMT	https://www.houstonsignsandawnings.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.houstonsignsandawnings.com%2F&format=xml	www.houstonsignsandawnings.com/wp-json/oembed/1.0/embed796b	(from https://www.houstonsignsandawnings.com/)
20:04:09	132438/132438	---MCZ	200	added ('OK')	text/css	etag:W/%2268ffd4ea-20556%22	https://www.houstonsignsandawnings.com/wp-content/cache/min/1/wp-content/plugins/formidable/css/formidableforms.css?ver=1761596650	www.houstonsignsandawnings.com/wp-content/cache/min/1/wp-content/plugins/formidable/css/formidableformse59e.css	(from https://www.houstonsignsandawnings.com/)
20:04:10	57973/57973	---MCZ	200	added ('OK')	text/css	etag:W/%2268ffd4ea-e275%22	https://www.houstonsignsandawnings.com/wp-content/cache/min/1/ajax/libs/font-awesome/5.11.2/css/all.min.css?ver=1761596650	www.houstonsignsandawnings.com/wp-content/cache/min/1/ajax/libs/font-awesome/5.11.2/css/all.mine59e.css	(from https://www.houstonsignsandawnings.com/)
